,home_team_fifa_rank,away_team_fifa_rank,home_team_total_fifa_points,away_team_total_fifa_points,home_team_numeric,away_team_numeric,home_team_continent_numeric,away_team_continent_numeric
0,59,22,0,0,24,202,5,5
2,35,94,0,0,59,205,5,5
4,67,5,0,0,148,8,5,5
5,70,19,0,0,149,43,5,5
10,52,46,0,0,11,36,4,3
11,59,35,0,0,24,59,5,5
12,19,5,0,0,43,8,5,5
13,107,65,0,0,45,82,0,0
14,22,8,0,0,202,27,5,5
15,5,70,0,0,8,149,5,5
16,59,94,0,0,24,205,5,5
17,8,35,0,0,27,59,5,5
18,67,19,0,0,148,43,5,5
19,4,12,0,0,181,71,2,2
20,38,47,0,0,12,70,2,2
21,10,84,0,0,55,113,2,2
22,5,67,0,0,8,148,5,5
23,8,59,0,0,27,24,5,5
24,19,70,0,0,43,149,5,5
25,22,94,0,0,202,205,5,5
27,5,19,0,0,8,43,5,5
28,8,94,0,0,27,205,5,5
29,35,22,0,0,59,202,5,5
30,118,23,0,0,65,152,2,2
31,70,67,0,0,149,148,5,5
33,92,10,0,0,1,55,2,2
34,37,4,0,0,30,181,2,2
35,11,20,0,0,62,151,2,2
36,111,21,0,0,68,156,2,2
37,47,12,0,0,70,71,2,2
38,42,7,0,0,88,157,2,2
39,53,110,0,0,90,114,2,2
40,6,84,0,0,155,113,2,2
41,40,89,0,0,141,107,2,2
43,30,3,0,0,162,182,2,2
45,22,59,0,0,202,24,5,5
46,94,35,0,0,205,59,5,5
49,8,22,0,0,27,202,5,5
50,35,59,0,0,59,24,5,5
53,92,13,0,0,1,174,2,2
54,118,2,0,0,65,95,2,2
56,9,20,0,0,142,151,2,2
58,119,16,0,0,160,134,2,2
62,18,31,0,0,139,54,0,0
64,27,57,0,0,209,163,0,0
65,47,60,0,0,210,82,0,0
74,30,18,0,0,2,139,0,0
75,23,47,0,0,35,210,0,0
76,32,27,0,0,129,209,0,0
77,110,35,0,0,114,78,2,2
78,37,33,0,0,30,12,2,2
79,4,40,0,0,55,141,2,2
80,7,71,0,0,71,94,2,2
82,9,14,0,0,155,174,2,2
83,2,28,0,0,95,162,2,2
84,13,5,0,0,134,62,2,2
85,22,3,0,0,151,142,2,2
86,21,10,0,0,152,182,2,2
